GeneMasterName,GeneFullName,ClinVarGene ID,Location,Chromosome,ChromosomeArm,NumExons,NumBases,NumAminoAcids,GeneType,Mechanism,Pathway,PathwayGraphic,VariantLevelRisk,GraphicGene,GraphicProtein,GeneInteraction,urlGenecards,urlGenereviews,urlOMIM,RefSeqID1,RefSeqID2,Childhood,RecessiveConditionAlso,Preimplant_PrenatalDx,In_Ask2meWebsite,MedNeon,In_Invitae84,Ambry,Myriad_MyRisk,Geisinger,ACMG,ACMG_3_Dec2021,Helix,Completed,Inheritance,Check,DiseaseTypeMaster,SPANISH_GeneType,CHINESE_GeneType,SPANISH_Mechanism,CHINESE_Mechanism,PreImplantationTesting,NCCN_GuidelinesDec2021,Notes
CTNND1,catenin delta 1,1500,11q12.1,11,Q,21,66304,968,protein coding,"This gene encodes a member of the Armadillo protein family, which function in adhesion between cells and signal transduction. Multiple translation initiation codons and alternative splicing result in many different isoforms being translated. Not all of the full-length natures of the described transcript variants have been determined. Read-through transcription also exists between this gene and the neighboring upstream thioredoxin-related transmembrane protein 2 (TMX2) gene. [provided by RefSeq, Dec 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNND1&keywords=ctnnd1#summaries,,https://omim.org/entry/601045?search=ctnnd1&highlight=ctnnd1#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
DOT1L,DOT1 Like Histone Lysine Methyltransferase,84444,19p13.3,19,p,,68646,1537,protein encoding,"The protein encoded by this gene is a histone methyltransferase that methylates lysine-79 of histone H3. It is inactive against free core histones, but shows significant histone methyltransferase activity against nucleosomes. [provided by RefSeq, Aug 2011]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOT1L&keywords=dot1l#summaries,https://www.ncbi.nlm.nih.gov/gene/84444,https://omim.org/entry/607375?search=dot1l&highlight=dot1l,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
FBXO24,F-box protein 24,26261,7q22.1,7,Q,16,"17,136",580 ,protein coding,"This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbxs class. Multiple transcript variants encoding different isoforms have been found for this gene.",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO24&keywords=FBXO24,https://www.ncbi.nlm.nih.gov/gene/26261,https://omim.org/entry/609097?search=FBXO24&highlight=fbxo24,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
NKX2-1,NK2 Homeobox 1,,14q13.3,14,Q,,"4,758",371,protein coding,"This gene encodes a protein initially identified as a thyroid-specific transcription factor. The encoded protein binds to the thyroglobulin promoter and regulates the expression of thyroid-specific genes but has also been shown to regulate the expression of genes involved in morphogenesis. Mutations and deletions in this gene are associated with benign hereditary chorea, choreoathetosis, congenital hypothyroidism, and neonatal respiratory distress, and may be associated with thyroid cancer. Multiple transcript variants encoding different isoforms have been found for this gene. This gene shares the symbol/alias 'TTF1' with another gene, transcription termination factor 1, which plays a role in ribosomal gene transcription. [provided by RefSeq, Feb 2014]",,,,,,,,,,,,,,,,,,,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
BUB1B,Mitotic Checkpoint Serine/Threonine Kinase B,701,15q15.1,16,,,16101,1050,,"This gene encodes a kinase involved in spindle checkpoint function. The protein has been localized to the kinetochore and plays a role in the inhibition of the anaphase-promoting complex/cyclosome (APC/C), delaying the onset of anaphase and ensuring proper chromosome segregation. Impaired spindle checkpoint function has been found in many forms of cancer. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB1B&keywords=BUB1B#summaries,,https://omim.org/entry/602860?search=BUB1B&highlight=bub1b,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
DSG2,Desmoglein ,1829,18q12.1,18,,,50832,1118,protein encoding,"This gene encodes a member of the desmoglein family and cadherin cell adhesion molecule superfamily of proteins. Desmogleins are calcium-binding transmembrane glycoprotein components of desmosomes, cell-cell junctions between epithelial, myocardial, and other cell types. The encoded preproprotein is proteolytically processed to generate the mature glycoprotein. This gene is present in a gene cluster with other desmoglein gene family members on chromosome 18. Mutations in this gene have been associated with arrhythmogenic right ventricular dysplasia, familial, 10. [provided by RefSeq, Jan 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSG2&keywords=dsg2,,https://omim.org/entry/125671?search=dsg2&highlight=dsg2,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
DSP,Desmoplakin,1832,6p24.3,6,,24,45098,2871,protein encoding,"This gene encodes a protein that anchors intermediate filaments to desmosomal plaques and forms an obligate component of functional desmosomes. Mutations in this gene are the cause of several cardiomyopathies and keratodermas, including skin fragility-woolly hair syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP&keywords=dsp#summaries,,https://omim.org/entry/125647?search=dsp&highlight=dsp#geneStructure,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
EMD,Emerin,2010,Xq28,,,6,2288,254,protein coding,"Emerin is a serine-rich nuclear membrane protein and a member of the nuclear lamina-associated protein family. It mediates membrane anchorage to the cytoskeleton. Dreifuss-Emery muscular dystrophy is an X-linked inherited degenerative myopathy resulting from mutation in the emerin gene. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMD&keywords=emd#summaries,,https://omim.org/entry/300384?search=emd&highlight=emd#geneStructure,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
ENG,Endoglin,2022,9q34.11,9,,14,39762,658,protein encoding,"This gene encodes a homodimeric transmembrane protein which is a major glycoprotein of the vascular endothelium. This protein is a component of the transforming growth factor beta receptor complex and it binds to the beta1 and beta3 peptides with high affinity. Mutations in this gene cause hereditary hemorrhagic telangiectasia, also known as Osler-Rendu-Weber syndrome 1, an autosomal dominant multisystemic vascular dysplasia. This gene may also be involved in preeclampsia and several types of cancer. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2013]",,,,,,,,,,,,,,,,,,,,,,1,,,Mono,,Cancer,,,,,,,
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",2068,19q13.32,19,,23,21082,760,protein encoding,"The nucleotide excision repair pathway is a mechanism to repair damage to DNA. The protein encoded by this gene is involved in transcription-coupled nucleotide excision repair and is an integral member of the basal transcription factor BTF2/TFIIH complex. The gene product has ATP-dependent DNA helicase activity and belongs to the RAD3/XPD subfamily of helicases. Defects in this gene can result in three different disorders, the cancer-prone syndrome xeroderma pigmentosum complementation group D, trichothiodystrophy, and Cockayne syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2&keywords=ercc2#genomic_location,,https://omim.org/entry/126340?search=ercc2&highlight=ercc2#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subuni",2071,2q14.3,2,,14,36877,782,protein encoding,"This gene encodes an ATP-dependent DNA helicase that functions in nucleotide excision repair. The encoded protein is a subunit of basal transcription factor 2 (TFIIH) and, therefore, also functions in class II transcription. Mutations in this gene are associated with Xeroderma pigmentosum B, Cockayne's syndrome, and trichothiodystrophy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC3&keywords=ercc3#summaries,,https://omim.org/entry/133510?search=ercc3&highlight=ercc3#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCA,FA Complementation Group A,2175,16q24.3,16,,,79109,1455,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group A. Alternative splicing results in multiple transcript variants encoding different isoforms. Mutations in this gene are the most common cause of Fanconi anemia. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA&keywords=fanca#summaries,,https://omim.org/entry/607139?search=fanca&highlight=fanca#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCB,FA Complementation Group B,2187,Xb22.2,,,10,182393,859,protein encoding,"This gene encodes a member of the Fanconi anemia complementation group B. This protein is assembled into a nucleoprotein complex that is involved in the repair of DNA lesions. Mutations in this gene can cause chromosome instability and VACTERL syndrome with hydrocephalus. [provided by RefSeq, Apr 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCB&keywords=fancb#summaries,,https://omim.org/entry/300515?search=fancb&highlight=fancb#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCC,FA Complementation Group C,2176,9q22.32,9,Q,14,327743,558,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group C. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC&keywords=fancc#summaries,,https://omim.org/entry/613899?search=fancc&highlight=fancc#geneStructure,,,,1,,,,,1,,,,,,,Mono,,Cancer,,,,,,9,
FANCD2,FA Complementation Group D2,2177,3p25.3,3,,44,75519,1451,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group D2. This protein is monoubiquinated in response to DNA damage, resulting in its localization to nuclear foci with other proteins (BRCA1 AND BRCA2) involved in homology-directed DNA repair. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCD2&keywords=fancd2#genomic_location,,https://omim.org/entry/613984?search=fancd2&highlight=fancd2#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCE,FA Complementation Group E,2178,6p21.31,6,,10,14769,736,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group E. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCE&keywords=fance#summaries,,https://omim.org/entry/613976?search=fance&highlight=fance#geneStructure,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCF,FA Complementation Group F,2188,11p14.3,11,,,3291,374,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group F. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCF&keywords=fancf#summaries,,https://omim.org/entry/613897?search=fancf&highlight=fancf,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCG,FA Complementation Group G,2189,9p13.3,9,,,6108,622,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group G. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCG&keywords=fancg,,https://omim.org/entry/602956?search=fancg&highlight=fancg,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCI,FA Complementation Group I,55215,15q26.1,15,,38,73313,1328,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group I. Alternative splicing results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCI&keywords=fanci#summaries,,https://omim.org/entry/611360?search=fanci&highlight=fanci#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCL,FA Complementation Group L,55120,2p16.1,2,,,82439,375,protein coding,"This gene encodes a ubiquitin ligase that is a member of the Fanconi anemia complementation group (FANC). Members of this group are related by their assembly into a common nuclear protein complex rather than by sequence similarity. This gene encodes the protein for complementation group L that mediates monoubiquitination of FANCD2 as well as FANCI. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2018]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCL&keywords=fancl#summaries,,https://omim.org/entry/608111?search=fancl&highlight=fancl,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FANCM,FA Complementation Group M,27697,14q21.2,14,,,64961,2048,protein coding,"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group M. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCM&keywords=fancm#summaries,,https://omim.org/entry/609644?search=fancm&highlight=fancm,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FOXP3,Foxheadbox P3,50943,xp11.23,,,11,20042,431,protein encoding,"The protein encoded by this gene is a member of the forkhead/winged-helix family of transcriptional regulators. Defects in this gene are the cause of immunodeficiency polyendocrinopathy, enteropathy, X-linked syndrome (IPEX), also known as X-linked autoimmunity-immunodeficiency syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3&keywords=foxp3#summaries,,https://omim.org/entry/300292?search=FOXP3&highlight=foxp3#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
FOXRED1,FAD Dependent Oxidoreductase Domain Containing 1,55572,11q24.2,11,,11,9090,486,protein encoding,"This gene encodes a protein that contains a FAD-dependent oxidoreductase domain. The encoded protein is localized to the mitochondria and may function as a chaperone protein required for the function of mitochondrial complex I. Mutations in this gene are associated with mitochondrial complex I deficiency. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Dec 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXRED1&keywords=foxred1#summaries,,https://omim.org/entry/613622?search=foxred1&highlight=foxred1,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
GALNT12,Polypeptide N-Acetylgalactosaminyltransferase 1,2589,18q12.2,18,Q,10,13718,559,protein coding,"This gene encodes a member of the UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase (GalNAc-T) family of enzymes. GalNAc-Ts initiate mucin-type O-linked glycosylation in the Golgi apparatus by catalyzing the transfer of GalNAc to serine and threonine residues on target proteins. They are characterized by an N-terminal transmembrane domain, a stem region, a lumenal catalytic domain containing a GT1 motif and Gal/GalNAc transferase motif, and a C-terminal ricin/lectin-like domain. GalNAc-Ts have different, but overlapping, substrate specificities and patterns of expression. Transcript variants derived from this gene that utilize alternative polyA signals have been described in the literature. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT1&keywords=galnt1#summaries,,https://omim.org/entry/602273?search=galnt1&highlight=galnt1#geneStructure,,,,,,,,,1,1,,,,,,Mono,,Cancer,,,,,,9,
CTRC,Chymotrpsin C,11330,1p36.21,1,P,,10806,268,protein encoding,"his gene encodes a member of the peptidase S1 family. The encoded protein is a serum calcium-decreasing factor that has chymotrypsin-like protease activity. Alternatively spliced transcript variants have been observed, but their full-length nature has not been determined. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRC&keywords=ctrc#summaries,,https://omim.org/entry/601405?search=ctrc&highlight=ctrc,,,,,,,,,1,,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,,
CYLD,CYLD Lysine 63 Deubiquitinase,1540,16q12.1,16,,20,59886,956,protein encoding,"his gene is encodes a cytoplasmic protein with three cytoskeletal-associated protein-glycine-conserved (CAP-GLY) domains that functions as a deubiquitinating enzyme. Mutations in this gene have been associated with cylindromatosis, multiple familial trichoepithelioma, and Brooke-Spiegler syndrome. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLD&keywords=cyld#summaries,,https://omim.org/entry/605018?search=cyld&highlight=cyld#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
DDB2,Damage Specific DNA Binding Protein 2,1643,11p11.2,11,,,24754,427,protein encoding,"This gene encodes a protein that is necessary for the repair of ultraviolet light-damaged DNA. This protein is the smaller subunit of a heterodimeric protein complex that participates in nucleotide excision repair, and this complex mediates the ubiquitylation of histones H3 and H4, which facilitates the cellular response to DNA damage. This subunit appears to be required for DNA binding. Mutations in this gene cause xeroderma pigmentosum complementation group E, a recessive disease that is characterized by an increased sensitivity to UV light and a high predisposition for skin cancer development, in some cases accompanied by neurological abnormalities. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB2&keywords=ddb2#summaries,,https://omim.org/entry/600811?search=ddb2&highlight=ddb2#geneFunction,,,,1,,,,,,,,,,,,Mono,,Cancer,,,,,,,
DES,Desmin,1674,2q35,2,,9,8354,470,protein coding,"his gene encodes a muscle-specific class III intermediate filament. Homopolymers of this protein form a stable intracytoplasmic filamentous network connecting myofibrils to each other and to the plasma membrane. Mutations in this gene are associated with desmin-related myopathy, a familial cardiac and skeletal myopathy (CSM), and with distal myopathies. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES#summaries,,https://omim.org/entry/125660?search=des&highlight=des#description,,,,,,,,,,,,,,,,Mono,,Cardiomyopathy,,,,,,,
DKC1,Dyskerin Pseudouridine Synthase 1,1736,Xq28,,,15,14948,514,,"his gene functions in two distinct complexes. It plays an active role in telomerase stabilization and maintenance, as well as recognition of snoRNAs containing H/ACA sequences which provides stability during biogenesis and assembly into H/ACA small nucleolar RNA ribonucleoproteins (snoRNPs). This gene is highly conserved and widely expressed, and may play additional roles in nucleo-cytoplasmic shuttling, DNA damage response, and cell adhesion. Mutations have been associated with X-linked dyskeratosis congenita. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKC1&keywords=dkc1#summaries,,https://omim.org/entry/300126?search=dkc1&highlight=dkc1#geneStructure,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
DSC2,Desmocollin 2,1824,18q12.1,18,,17,43683,901,protein encoding,"The protein encoded by this gene is a histone methyltransferase that methylates lysine-79 of histone H3. It is inactive against free core histones, but shows significant histone methyltransferase activity against nucleosomes.",,,,,,,https://omim.org/entry/125645?search=dsc2&highlight=dsc2#geneStructure,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSC2&keywords=dsc2#summaries,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
GATA1,GATA Binding Protein 1,2623,Xp11.23,,,,7772,413,protein coding,"This gene encodes a protein which belongs to the GATA family of transcription factors. The protein plays an important role in erythroid development by regulating the switch of fetal hemoglobin to adult hemoglobin. Mutations in this gene have been associated with X-linked dyserythropoietic anemia and thrombocytopenia. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1&keywords=gata1#summaries,,https://omim.org/entry/305371?search=gata1&highlight=gata1,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
GJB6,Gap Junction Protein Beta 6,10804,3q12.11,3,Q,,10434,261,,"Gap junctions allow the transport of ions and metabolites between the cytoplasm of adjacent cells. They are formed by two hemichannels, made up of six connexin proteins assembled in groups. Each connexin protein has four transmembrane segments, two extracellular loops, a cytoplasmic loop formed between the two inner transmembrane segments, and the N- and C-terminus both being in the cytoplasm. The specificity of the gap junction is determined by which connexin proteins comprise the hemichannel. In the past, connexin protein names were based on their molecular weight, however the new nomenclature uses sequential numbers based on which form (alpha or beta) of the gap junction is present. This gene encodes one of the connexin proteins. Mutations in this gene have been found in some forms of deafness and in some families with hidrotic ectodermal dysplasia. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB6&keywords=gjb6#summaries,,https://omim.org/entry/604418?search=gjb6&highlight=gjb6,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
GLA,Galactosidase Alpha,2717,Xq22.1,,,7,14740,429,protein encoding,"This gene encodes a homodimeric glycoprotein that hydrolyses the terminal alpha-galactosyl moieties from glycolipids and glycoproteins. This enzyme predominantly hydrolyzes ceramide trihexoside, and it can catalyze the hydrolysis of melibiose into galactose and glucose. A variety of mutations in this gene affect the synthesis, processing, and stability of this enzyme, which causes Fabry disease, a rare lysosomal storage disorder that results from a failure to catabolize alpha-D-galactosyl glycolipid moieties. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA&keywords=gla#summaries,,https://omim.org/entry/300644?search=gla&highlight=gla#geneStructure,,,,,,,,,,,1,1,1,,,Mono,,Cardiomyopathy,,,,,,,
IL1B,"HRas proto-oncogene, GTPase",3265,11p15.5,11,P,7,"5,046",189,protein coding,"This gene belongs to the Ras oncogene family, whose members are related to the transforming genes of mammalian sarcoma retroviruses. The products encoded by these genes function in signal transduction pathways. These proteins can bind GTP and GDP, and they have intrinsic GTPase activity. This protein undergoes a continuous cycle of de- and re-palmitoylation, which regulates its rapid exchange between the plasma membrane and the Golgi apparatus.",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS&keywords=HRAS,https://www.ncbi.nlm.nih.gov/gene/3265,https://omim.org/entry/190020?search=HRAS&highlight=hras,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
IL1RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
JUP,Junction Plakoglobin,3728,17q21.2,17,,,32328,745,PROTEIN CODING,"This gene encodes a major cytoplasmic protein which is the only known constituent common to submembranous plaques of both desmosomes and intermediate junctions. This protein forms distinct complexes with cadherins and desmosomal cadherins and is a member of the catenin family since it contains a distinct repeating amino acid motif called the armadillo repeat. Mutation in this gene has been associated with Naxos disease. Alternative splicing occurs in this gene; however, not all transcripts have been fully described. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUP&keywords=JUP#summaries,,https://omim.org/entry/173325?search=JUP&highlight=jup,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
MC1R,Melanocortin 1 Receptor,4157,16q24.r,16,,,8859,317,,"This intronless gene encodes the receptor protein for melanocyte-stimulating hormone (MSH). The encoded protein, a seven pass transmembrane G protein coupled receptor, controls melanogenesis. Two types of melanin exist: red pheomelanin and black eumelanin. Gene mutations that lead to a loss in function are associated with increased pheomelanin production, which leads to lighter skin and hair color. Eumelanin is photoprotective but pheomelanin may contribute to UV-induced skin damage by generating free radicals upon UV radiation. Binding of MSH to its receptor activates the receptor and stimulates eumelanin synthesis. This receptor is a major determining factor in sun sensitivity and is a genetic risk factor for melanoma and non-melanoma skin cancer. Over 30 variant alleles have been identified which correlate with skin and hair color, providing evidence that this gene is an important component in determining normal human pigment variation. [provided by RefSeq, Jul 2008]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC1R&keywords=mc1r#summaries,,https://omim.org/entry/155555?search=mc1r&highlight=mc1r,,,,,,,,,,,,,,,,Mono,,Cancer,,,,,,,
